"subject_id","model","cost","bic","aic","n_obs","n_bins","n_free_params","folder"
"36","FCB_cj6",490.966597000882,569.900933293535,514.966597000882,719,136,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"37","FCB_cj6",888.594559795361,967.528896088014,912.594559795361,719,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"38","FCB_cj6",223.929134840632,302.863471133285,247.929134840632,719,132,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"39","FCB_cj6",1393.33716296454,1471.06083131921,1417.33716296454,650,136,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"4","FCB_cj6",577.495444049566,656.379606053094,601.495444049566,716,144,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"40","FCB_cj6",502.872191647387,581.80652794004,526.872191647387,719,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"5","FCB_cj6",788.464942599272,867.315538147347,812.464942599272,714,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"6","FCB_cj6",388.67515313754,467.609489430192,412.67515313754,719,144,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"7","FCB_cj6",319.973662772862,398.89129760144,343.973662772862,718,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"8","FCB_cj6",572.143141783305,651.0440518705,596.143141783305,717,128,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
"9","FCB_cj6",758.090383048594,836.788756682341,782.090383048594,705,132,12,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit_byManipulation"
