"a:FastFast","v","ter","a2","vratio","a2_slope_upper","a2_slope_lower","ter2","starting_point_confidence","a:AccFast","a:AccAcc","a:FastAcc","a_slope","ntrials","s","dt","subject_id","fit_condition","file_id","cost","model","n_free_params","n_bins","n_obs","bic","aic"
1.81169614879344,0.954383899467697,0.404862899773427,3.38846696070808,0.645588022286779,1.07442008929108,1.00486568294953,-0.00429683695404837,0.730941880889359,1.95139477540488,2.35569663177875,1.83577352433549,0,5000,1,0.001,"1","All","FCB_cj6_FIT_sub-1_20260629_223650.rds",371.772450653853,"FCB_cj6",12,112,719,450.706786946506,395.772450653853
2.35819168150209,0.675364094359008,0.325551529845356,4.28171433260246,0.296358627207506,1.60089489879694,0.68790088507917,-0.0899804310188,0.630084002041293,2.21348861521657,2.85000320070898,2.5893040767388,0,5000,1,0.001,"10","All","FCB_cj6_FIT_sub-10_20260629_230931.rds",379.067519129051,"FCB_cj6",12,116,718,457.985153957629,403.067519129051
1.98907082372242,0.53775593406258,0.512197310060644,4.39961020997437,0.462426456633261,1.38630739714364,0.515362554078158,-0.154842322663028,0.650894149077955,2.1913122763454,2.58478564141827,1.99146195757346,0,5000,1,0.001,"11","All","FCB_cj6_FIT_sub-11_20260629_225947.rds",408.280703170837,"FCB_cj6",12,128,718,487.198337999415,432.280703170837
1.36811757456493,0.335529665834731,0.316939796154871,4.90127754203263,0.294948439453992,1.57498935527976,0.010909091416597,-0.349629136116493,0.651048035406011,2.57777751267201,2.71629499707467,1.47896429282632,0,5000,1,0.001,"12","All","FCB_cj6_FIT_sub-12_20260629_231242.rds",878.757200057988,"FCB_cj6",12,136,712,957.574134994932,902.757200057988
1.7302181527511,0.30067209613567,0.362550059488918,5.96103885528601,0.327901778157735,1.37517690223223,0.587446199431277,-0.613650679277783,0.623149474062648,2.82111322660289,2.78196534333935,1.6477759171311,0,5000,1,0.001,"13","All","FCB_cj6_FIT_sub-13_20260629_233225.rds",994.22476232801,"FCB_cj6",12,132,717,1073.12567241521,1018.22476232801
0.866876532211504,0.424883013928351,0.333790008047585,7.95755389822446,0.318391958654521,2.05918677215739,0.0206829786058579,-0.88523237898888,0.533900124923026,1.49707737722263,2.00647190838204,1.10051644615274,0,5000,1,0.001,"14","All","FCB_cj6_FIT_sub-14_20260629_231503.rds",915.209914901759,"FCB_cj6",12,140,718,994.127549730337,939.209914901759
1.31682762719232,0.41002588265466,0.364684462204288,5.88514883439738,0.267128153389012,1.9330199664172,0.0134125927937159,-0.532835260575325,0.577923873237319,2.25623161107133,2.29837293905288,1.55934365915943,0,5000,1,0.001,"15","All","FCB_cj6_FIT_sub-15_20260629_230718.rds",786.015996792625,"FCB_cj6",12,136,719,864.950333085278,810.015996792625
1.4064921204546,0.380683065039065,0.585175519457414,5.82846528817952,0.276134173805284,3.0275181002523,0.0482871084398275,-0.25104545483132,0.629408738369426,1.84264350894655,2.00667875384988,2.06085639839778,0,5000,1,0.001,"16","All","FCB_cj6_FIT_sub-16_20260629_224532.rds",595.203244230983,"FCB_cj6",12,132,720,674.154258775104,619.203244230983
1.48228192301801,1.0014000570216,0.446144172700161,4.27780973527873,0.442766189696148,0.983296337344753,2.73539992264012,-0.00421544807541778,0.935654707707696,1.54581841607555,1.62983806837603,1.67415826629241,0,5000,1,0.001,"17","All","FCB_cj6_FIT_sub-17_20260629_221817.rds",326.584722942982,"FCB_cj6",12,116,719,405.519059235635,350.584722942982
1.64033566199991,0.809611589816487,0.532677564222684,2.98545370898728,0.566768034292138,2.96811720544734,0.125218751787111,0.12010630024945,0.75562043190663,1.69905783294596,1.37333744569174,1.47496939153662,0,5000,1,0.001,"18","All","FCB_cj6_FIT_sub-18_20260629_221524.rds",263.149190192186,"FCB_cj6",12,128,719,342.083526484839,287.149190192186
