"a","v","ter","a2","vratio","a2_slope_upper","a2_slope_lower","ter2","starting_point_confidence","a_slope","ntrials","s","dt","subject_id","fit_condition","file_id","cost","model","n_free_params","n_bins","n_obs","bic","aic"
2.49207084637601,0.756098112557083,0.176617735577747,8.19615742731839,2.11206578612328,0.334071642719209,2.03034589998424,-0.980737322475761,0.389402592321858,0,5000,1,0.001,"1","manipulation","FCB_cj6_FIT_sub-1_20260630_140659.rds",3846.42502557773,"FCB_cj6",9,112,719,3905.62577779722,3864.42502557773
2.19136460867804,0.195849694339558,0.143088265514933,2.56485597603023,2.41939214700162,2.80533111084253,0.0142022934183474,0.416902383975685,0.632560116099194,0,5000,1,0.001,"2","manipulation","FCB_cj6_FIT_sub-2_20260630_140808.rds",5839.4852649538,"FCB_cj6",9,124,714,5898.62321161485,5857.4852649538
3.30887698881794,0.0880098533816636,0.382093339995481,10.5387552537397,4.61401006095111,1.84121989645064,3.18904319752753,-0.781951737077907,0.714117783326656,0,5000,1,0.001,"3","manipulation","FCB_cj6_FIT_sub-3_20260630_140859.rds",5049.95990909706,"FCB_cj6",9,128,719,5109.16066131654,5067.95990909706
1.77149416232649,0.65926774428226,0.469208377477527,4.6197332534939,0.775114000961185,2.02860010787845,0.169613378122449,0.208726446591318,0.875336414165795,0,5000,1,0.001,"4","manipulation","FCB_cj6_FIT_sub-4_20260630_141027.rds",6934.60432386175,"FCB_cj6",9,144,716,6993.7674453644,6952.60432386175
