"subject_id","model","cost","bic","aic","n_obs","n_bins","n_free_params","folder"
"1","FCB_cj6",3846.42502557773,3905.62577779722,3864.42502557773,719,112,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/vratio"
"2","FCB_cj6",5839.4852649538,5898.62321161485,5857.4852649538,714,124,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/vratio"
"3","FCB_cj6",5049.95990909706,5109.16066131654,5067.95990909706,719,128,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/vratio"
"4","FCB_cj6",6934.60432386175,6993.7674453644,6952.60432386175,716,144,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/vratio"
