"Model","BIC","dBIC","Weight","Ratio","Wins","Cost","Pen","mBIC","Pars","Bins","N"
"vratio",21907.177096093,0,1,"1.0",3,5417.61863087258,59.1756431506678,5476.79427402325,9,127,4
"vratio_full",37297.1562908018,15389.9791947088,0,">1000",1,9245.38821516624,78.9008575342069,9324.28907270045,12,127,4
